method,VaR95,VaR99,ES95,ES99,worst_loss,full_es99_over_gaussian,full_es99_over_static,horizon_days,n_sims,seed
Static ±10%,,,,,2327592.5925925914,4.034374447441927,0.9401809349823451,10,10000,42
Gaussian MC,344422.7645352233,475324.5549990787,429443.33856837737,542428.1281945095,796395.6969157904,4.034374447441927,0.9401809349823451,10,10000,42
Fat-tailed MC,334796.6443561295,565392.0455540743,477075.3029482707,710093.2502201329,1611020.601859943,4.034374447441927,0.9401809349823451,10,10000,42
Jumps only (A),374376.8292742596,643372.4033066581,538275.1467373874,794932.7111725907,1611020.601859943,4.034374447441927,0.9401809349823451,10,10000,42
Event only (B),1691496.7773872018,2018168.7326160786,1887978.0561244178,2159165.643196375,2652527.920994943,4.034374447441927,0.9401809349823451,10,10000,42
Full jump+event MC,1700996.1411298441,2049303.7547284076,1904333.5727007713,2188358.179961683,2652527.920994943,4.034374447441927,0.9401809349823451,10,10000,42
