model,VaR95,VaR99,ES95,ES99,pnl_mean,pnl_std,corr_relerr,horizon_days,n_sims,seed,joint_df,marg_df_EURUSD,marg_df_GBPUSD,marg_df_USDJPY
Gaussian,344422.7645352233,475324.5549990787,429443.33856837737,542428.1281945095,18179.721115923847,221048.50269641337,0.007244237146357413,10,10000,42,5.0,7.353268579050318,5.914089029256102,5.228619409406984
Multivariate-t (df=5),335388.5976717318,538074.0997392334,476690.3068698879,733336.182671352,16841.405529867072,221607.7451271079,0.0028713023743815597,10,10000,42,5.0,7.353268579050318,5.914089029256102,5.228619409406984
Multivariate-t (df=3),280501.45338920195,590587.0966920397,516616.2960359114,1047679.6815408745,14455.139412300166,231461.43292064845,0.032600592967048654,10,10000,42,5.0,7.353268579050318,5.914089029256102,5.228619409406984
Multivariate-t (df=10),340032.7550416758,525849.6475788092,453300.1761082957,635420.3961151477,18226.77555408143,221728.10563986533,0.005786162146555212,10,10000,42,5.0,7.353268579050318,5.914089029256102,5.228619409406984
t-copula (HEADLINE),341781.5136310231,531833.3118426204,467867.47158745583,684715.0160290656,17039.02329418164,220876.05124138956,0.0008675086562945064,10,10000,42,5.0,7.353268579050318,5.914089029256102,5.228619409406984
