p_leave,VaR95,VaR99,ES95,ES99,static_gbp_minus10,static_all_minus10,realized_loss,gbp_jump_size,crisis_rho,seed
0.2,4818327.652078043,5978476.398701197,5525407.309119278,6460721.688877482,-3700000.0,-4474643.605870021,-3092368.686888813,0.1,0.7,42
0.3,5185266.829886366,6252007.469228348,5807853.32210089,6671298.477951719,-3700000.0,-4474643.605870021,-3092368.686888813,0.1,0.7,42
0.4,5414036.023893276,6409396.137523134,6005504.473184982,6810444.029787339,-3700000.0,-4474643.605870021,-3092368.686888813,0.1,0.7,42
0.5,5584261.442363164,6523767.105074894,6162362.189405583,6937512.241211569,-3700000.0,-4474643.605870021,-3092368.686888813,0.1,0.7,42
