confidence,var,es,pnl_mean,pnl_std,horizon_days,n_sims,seed,date_start,date_end,base_mtm
0.95,344422.7645352233,429443.33856837737,18179.721115923847,221048.50269641337,10,10000,42,2019-01-02,2026-06-18,483908.04597701225
0.99,475324.5549990787,542428.1281945095,18179.721115923847,221048.50269641337,10,10000,42,2019-01-02,2026-06-18,483908.04597701225
